      Step     Time          Energy          fmax
FIRE:    0 06:54:22  -145481.979318       15.026026
FIRE:    1 06:56:36  -145490.114968       14.923943
FIRE:    2 06:59:18  -145498.162621       14.821536
FIRE:    3 07:01:37  -145506.156786       14.717920
FIRE:    4 07:03:39  -145514.100864       14.612797
FIRE:    5 07:05:44  -145521.996235       14.505805
FIRE:    6 07:08:27  -145529.873663       14.389600
FIRE:    7 07:09:49  -145537.659889       14.277638
FIRE:    8 07:12:27  -145545.434500       14.151080
FIRE:    9 07:13:48  -145553.130638       14.030277
FIRE:   10 07:19:00  -145560.792482       13.868481
FIRE:   11 07:21:01  -145568.423393       13.738059
FIRE:   12 07:23:04  -145576.002446       13.602422
FIRE:   13 07:25:05  -145583.533385       13.462125
FIRE:   14 07:27:43  -145591.039335       13.427782
FIRE:   15 07:30:21  -145598.482477       13.399657
FIRE:   16 07:31:43  -145605.863098       13.380102
FIRE:   17 07:35:00  -145613.234011       13.349479
FIRE:   18 07:36:21  -145620.524564       13.324712
FIRE:   19 07:40:55  -145627.790562       13.271593
FIRE:   20 07:42:19  -145635.014106       13.233888
FIRE:   21 07:43:46  -145642.193391       13.188657
FIRE:   22 07:45:53  -145649.355175       13.136736
FIRE:   23 07:48:41  -145656.470858       13.074962
FIRE:   24 07:51:29  -145663.532780       13.002668
FIRE:   25 07:54:16  -145670.548217       12.924792
FIRE:   26 07:56:44  -145677.516057       12.845387
FIRE:   27 08:00:15  -145684.461450       12.753705
FIRE:   28 08:03:41  -145691.362904       12.651746
FIRE:   29 08:07:34  -145698.216440       12.545803
FIRE:   30 08:10:34  -145705.026247       12.438213
FIRE:   31 08:14:05  -145711.814423       12.318603
FIRE:   32 08:17:05  -145718.558864       12.189231
FIRE:   33 08:20:12  -145725.256464       12.055940
FIRE:   34 08:23:24  -145731.926126       11.915492
FIRE:   35 08:26:02  -145738.538306       11.774727
FIRE:   36 08:29:26  -145745.132278       11.623333
FIRE:   37 08:33:07  -145751.685184       11.462580
FIRE:   38 08:46:06  -145758.194155       11.297578
FIRE:   39 08:49:16  -145764.672373       11.140886
FIRE:   40 08:51:33  -145771.097781       11.068281
FIRE:   41 08:54:13  -145777.505478       10.995345
FIRE:   42 08:56:59  -145783.873063       10.918011
FIRE:   43 08:59:53  -145790.197619       10.840757
FIRE:   44 09:02:42  -145796.492954       10.764785
FIRE:   45 09:04:43  -145802.736177       10.692965
FIRE:   46 09:07:28  -145808.963233       10.622223
FIRE:   47 09:10:05  -145815.151097       10.547222
FIRE:   48 09:12:46  -145821.297451       10.471193
FIRE:   49 09:15:28  -145827.414879       10.391927
FIRE:   50 09:17:30  -145833.481823       10.310679
FIRE:   51 09:20:15  -145839.533838       10.224597
FIRE:   52 09:23:10  -145845.547542       10.128993
FIRE:   53 09:26:02  -145851.521139       10.030706
FIRE:   54 09:28:44  -145857.466291        9.931530
FIRE:   55 09:30:52  -145863.362457        9.840712
FIRE:   56 09:34:16  -145869.245018        9.768956
FIRE:   57 09:39:42  -145875.066758        9.664691
FIRE:   58 09:41:15  -145880.862004        9.573690
FIRE:   59 09:42:47  -145886.636262        9.479788
FIRE:   60 09:45:26  -145892.399548        9.381421
