      Step     Time          Energy          fmax
FIRE:    0 19:15:41   -43213.026244       12.888548
FIRE:    1 19:15:45   -43217.326323       12.743789
FIRE:    2 19:15:52   -43221.603518       12.579590
FIRE:    3 19:15:59   -43225.804691       12.421843
FIRE:    4 19:16:06   -43229.956845       12.268468
FIRE:    5 19:16:13   -43234.059679       12.118502
FIRE:    6 19:16:20   -43238.113701       11.967241
FIRE:    7 19:16:27   -43242.119178       11.811520
FIRE:    8 19:16:39   -43246.070592       11.656622
FIRE:    9 19:16:43   -43249.974444       11.537777
FIRE:   10 19:16:50   -43253.856926       11.417262
FIRE:   11 19:16:57   -43257.672970       11.313965
FIRE:   12 19:17:03   -43261.444646       11.221899
FIRE:   13 19:17:15   -43265.164880       11.117666
FIRE:   14 19:17:19   -43268.845201       11.020718
FIRE:   15 19:17:26   -43272.508708       10.890893
FIRE:   16 19:17:38   -43276.094015       10.738348
FIRE:   17 19:17:42   -43279.647948       10.596572
FIRE:   18 19:17:48   -43283.188104       10.422297
FIRE:   19 19:17:55   -43286.664722       10.234043
FIRE:   20 19:18:07   -43290.090297       10.025765
FIRE:   21 19:18:10   -43293.483832        9.825333
FIRE:   22 19:18:17   -43296.867143        9.594587
FIRE:   23 19:18:24   -43300.189108        9.352148
FIRE:   24 19:18:36   -43303.460907        9.092182
FIRE:   25 19:18:40   -43306.704313        8.843854
FIRE:   26 19:18:47   -43309.941411        8.570439
FIRE:   27 19:18:54   -43313.119154        8.290239
FIRE:   28 19:19:06   -43316.248264        8.181157
FIRE:   29 19:19:09   -43319.351721        8.187857
FIRE:   30 19:19:16   -43322.453029        8.005752
FIRE:   31 19:19:23   -43325.497344        7.873690
FIRE:   32 19:19:30   -43328.508809        7.765924
FIRE:   33 19:19:42   -43331.477771        7.704304
FIRE:   34 19:19:46   -43334.421464        7.709084
FIRE:   35 19:19:53   -43337.367294        7.575156
FIRE:   36 19:19:59   -43340.259157        7.567491
FIRE:   37 19:20:06   -43343.120553        7.557200
FIRE:   38 19:20:18   -43345.941698        7.519350
FIRE:   39 19:20:22   -43348.739423        7.532528
FIRE:   40 19:20:29   -43351.542507        7.523538
