      Step     Time          Energy          fmax
FIRE:    0 02:06:52  -145584.130928       14.148634
FIRE:    1 02:08:10  -145592.039902       14.089654
FIRE:    2 02:09:33  -145599.893423       14.031510
FIRE:    3 02:11:36  -145607.706591       13.975285
FIRE:    4 02:14:21  -145615.461676       13.925254
FIRE:    5 02:16:59  -145623.169377       13.842571
FIRE:    6 02:19:41  -145630.815325       13.788520
FIRE:    7 02:22:16  -145638.425767       13.699449
FIRE:    8 02:25:01  -145645.976496       13.641468
FIRE:    9 02:27:47  -145653.490630       13.598357
FIRE:   10 02:30:22  -145660.947887       13.553013
FIRE:   11 02:33:34  -145668.364728       13.501567
FIRE:   12 02:35:00  -145675.746304       13.460172
FIRE:   13 02:38:21  -145683.064422       13.410977
FIRE:   14 02:41:02  -145690.340105       13.365192
FIRE:   15 02:43:47  -145697.577110       13.318291
FIRE:   16 02:46:48  -145704.759594       13.267984
FIRE:   17 02:49:51  -145711.904062       13.216237
FIRE:   18 02:52:47  -145719.000835       13.156454
FIRE:   19 02:55:33  -145726.057177       13.091377
FIRE:   20 03:00:43  -145733.057124       12.997328
FIRE:   21 03:02:04  -145740.029659       12.922458
FIRE:   22 03:03:24  -145746.959477       12.841436
FIRE:   23 03:05:57  -145753.854558       12.753033
FIRE:   24 03:08:34  -145760.698229       12.654154
FIRE:   25 03:11:13  -145767.493354       12.546879
FIRE:   26 03:13:45  -145774.255447       12.433003
FIRE:   27 03:16:17  -145780.966833       12.311109
FIRE:   28 03:19:07  -145787.647471       12.183947
FIRE:   29 03:22:03  -145794.281510       12.048663
FIRE:   30 03:24:47  -145800.883621       11.908144
FIRE:   31 03:27:34  -145807.436953       11.760080
FIRE:   32 03:30:21  -145813.960890       11.607442
FIRE:   33 03:33:10  -145820.437278       11.447431
FIRE:   34 03:36:00  -145826.884735       11.283003
FIRE:   35 03:38:47  -145833.283227       11.111741
FIRE:   36 03:41:43  -145839.654761       10.964309
FIRE:   37 03:47:09  -145845.970997       10.876200
FIRE:   38 03:48:53  -145852.264850       10.799166
FIRE:   39 03:50:31  -145858.524173       10.718994
FIRE:   40 03:53:30  -145864.750602       10.632251
FIRE:   41 03:56:26  -145870.934559       10.564430
FIRE:   42 03:59:13  -145877.071318       10.532557
FIRE:   43 04:01:58  -145883.185269       10.456431
FIRE:   44 04:04:50  -145889.251396       10.421925
FIRE:   45 04:07:47  -145895.295405       10.339969
FIRE:   46 04:10:40  -145901.291319       10.300528
FIRE:   47 04:13:26  -145907.266155       10.211602
FIRE:   48 04:16:11  -145913.193438       10.164548
FIRE:   49 04:19:02  -145919.099862       10.068943
FIRE:   50 04:21:50  -145924.958090       10.014230
FIRE:   51 04:24:29  -145930.797111        9.912733
FIRE:   52 04:27:13  -145936.589617        9.860352
FIRE:   53 04:30:03  -145942.361818        9.767895
FIRE:   54 04:33:03  -145948.085841        9.714839
FIRE:   55 04:35:55  -145953.792371        9.616397
FIRE:   56 04:41:23  -145959.451309        9.551207
FIRE:   57 04:42:57  -145965.087910        9.490714
FIRE:   58 04:44:38  -145970.698115        9.422657
FIRE:   59 04:47:25  -145976.276798        9.377381
FIRE:   60 04:50:11  -145981.817421        9.316320
